Course Name,Hole Number,Par,Handicap for that hole,Back Tee yardage,Medium Tee Yardage,front tee yardages,special notes about that hole
Remington Parkview - Valley,1,3,17,144,139,132,two bunkers to the right and left of the green 
Remington Parkview - Valley,2,5,1,569,551,470,water on the right of the hole past 150 yards
Remington Parkview - Valley,3,4,15,357,300,242,dog leg left
Remington Parkview - Valley,4,3,11,122,110,105,river stream goes through the fairway at the halfway point
Remington Parkview - Valley,5,4,9,306,295,281,upslope
Remington Parkview - Valley,6,4,3,351,340,289,rive stream goes across right before the green
Remington Parkview - Valley,7,5,7,501,490,407,dog left right at the end only
Remington Parkview - Valley,8,4,13,279,265,244,dog leg left
Remington Parkview - Valley,9,3,5,172,167,147,
Remington Parkview - Valley,10,4,16,307,288,274,dog leg left
Remington Parkview - Valley,11,3,18,125,118,111,
Remington Parkview - Valley,12,4,2,409,382,254,
Remington Parkview - Valley,13,5,6,480,470,384,dog leg left
Remington Parkview - Valley,14,4,8,346,342,286,
Remington Parkview - Valley,15,4,12,281,265,226,river stream cuts across around 100-150 yards in
Remington Parkview - Valley,16,4,10,320,315,270,
Remington Parkview - Valley,17,3,14,119,109,89,pond right before the green
Remington Parkview - Valley,18,5,4,418,405,374,upslope